City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Palana,RU,2021-03-28 19:48:00,59.1167,159.9667,6.24,92,100,12.03
244,Saldanha,ZA,2021-03-28 19:48:00,-33.0117,17.9442,68.0,49,100,5.75
245,Tuatapere,NZ,2021-03-28 19:48:00,-46.1333,167.6833,53.01,99,96,1.01
246,Berdigestyakh,RU,2021-03-28 19:48:01,62.0989,126.6992,-5.1,100,100,2.48
247,Codrington,AU,2021-03-28 19:48:01,-38.2667,141.9667,58.37,76,100,7.18
248,Sitka,US,2021-03-28 19:47:07,57.0531,-135.33,37.4,65,40,13.8
249,Voh,NC,2021-03-28 19:48:01,-20.9667,164.7,76.62,84,14,3.67
250,Bumba,CD,2021-03-28 19:48:02,2.1833,22.4667,77.11,63,10,1.74
251,Russkaya Polyana,UA,2021-03-28 19:48:02,49.417,31.9201,46.33,61,80,8.84
252,Narasannapeta,IN,2021-03-28 19:48:02,18.4167,84.05,77.09,90,1,4.92
253,Ginir,ET,2021-03-28 19:48:02,7.1333,40.7,63.61,37,99,5.23
254,Castro,BR,2021-03-28 19:48:03,-24.7911,-50.0119,71.64,84,100,6.31
255,San Luis Obispo,US,2021-03-28 19:48:03,35.3666,-120.5343,75.2,38,1,3.44
256,Vanavara,RU,2021-03-28 19:48:03,60.34,102.2797,8.2,99,100,1.74
257,Pisz,PL,2021-03-28 19:48:04,53.6274,21.8125,32.0,86,0,4.61
258,Aguimes,ES,2021-03-28 19:48:04,27.9054,-15.4461,70.0,68,20,6.91
259,Cullman,US,2021-03-28 19:48:04,34.1748,-86.8436,63.0,33,1,6.91
260,Marawi,PH,2021-03-28 19:47:46,7.9986,124.2928,75.99,91,93,4.0
261,Malatya,TR,2021-03-28 19:44:34,38.5,38.0,32.0,80,0,6.91
262,Cabo San Lucas,MX,2021-03-28 19:47:45,22.8909,-109.9124,81.0,35,75,8.05
263,Flinders,AU,2021-03-28 19:48:05,-34.5833,150.8552,57.0,87,8,1.01
264,Pangnirtung,CA,2021-03-28 19:48:05,66.1451,-65.7125,5.0,51,90,3.44
265,Rizhao,CN,2021-03-28 19:48:05,35.4275,119.4553,50.16,35,46,3.49
266,Maldonado,UY,2021-03-28 19:48:05,-34.6667,-54.9167,69.8,83,75,10.36
267,Lubbock,US,2021-03-28 19:48:06,33.6001,-101.8338,66.0,24,1,8.05
268,Inta,RU,2021-03-28 19:48:06,66.0317,60.1659,-1.44,99,66,4.16
269,Chapais,CA,2021-03-28 19:48:06,49.7834,-74.8492,30.2,93,90,9.22
270,Bataipora,BR,2021-03-28 19:48:06,-22.2953,-53.2711,91.31,36,65,7.09
271,Mocajuba,BR,2021-03-28 19:48:07,-2.5842,-49.5072,79.79,89,82,1.79
272,Mitzic,GA,2021-03-28 19:48:07,0.7821,11.549,70.21,94,39,0.81
273,Yellowknife,CA,2021-03-28 19:46:02,62.456,-114.3525,25.0,42,75,17.27
274,Bayan,CN,2021-03-28 19:43:55,46.0833,127.4,41.0,60,100,6.42
275,Beian,NO,2021-03-28 19:48:07,63.6559,9.5683,42.8,87,75,4.61
276,Vardo,NO,2021-03-28 19:48:08,70.3705,31.1107,32.0,80,20,12.66
277,Iqaluit,CA,2021-03-28 19:47:41,63.7506,-68.5145,14.0,73,75,13.8
